order_number,quantity,unit_price,line_number,status,product,msrp,product_code,customer_name,phone,address,city,state,postal_code,country,territory,month_relative,customer_id,contact
10237,23,100,7,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,New York,NY,10022,United States,NA,13,90,Frick Michael
10251,28,100,2,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,United States,NA,12,82,Brown William
10263,34,100,2,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,United States,NA,11,36,King Julie
10275,45,92.83,1,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,NA,44000,France,EMEA,10,46,Labrune Janine
10285,36,100,6,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,United States,NA,9,50,Hernandez Marta
10299,23,100,9,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,NA,21240,Finland,EMEA,8,86,Karttunen Matti
10309,41,100,5,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,NA,4110,Norway,EMEA,7,12,Bergulfsen Jonas
10318,46,94.74,1,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,6,29,Yu Kyung
10329,42,100,1,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,6,47,Yu Kwai
10341,41,100,9,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,NA,5020,Austria,EMEA,6,72,Pipps Georg
10361,20,72.55,13,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,5,77,Huxley Adrian
10375,21,34.91,12,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,NA,44000,France,EMEA,3,46,Labrune Janine
10388,42,76.36,4,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,United States,NA,2,35,Benitez Violeta
10403,24,100,7,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,NA,WX1 6LT,United Kingdom,EMEA,1,88,Devon Elizabeth
10417,66,100,2,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,0,34,Freyre Diego
10103,26,100,11,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,NA,4110,Norway,EMEA,28,12,Bergulfsen Jonas
10112,29,100,1,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,NA,S-958 22,Sweden,EMEA,26,91,Berglund Christina
10126,38,100,11,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,NA,28023,Spain,EMEA,24,25,Sommer Mart<a1>n
10140,37,100,11,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,22,81,Hirano Juri
10150,45,100,8,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,NA,79903,Singapore,Japan,20,32,Natividad Eric
10163,21,100,1,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,New York,NY,10022,United States,NA,19,20,Hernandez Maria
10174,34,100,4,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,18,7,Calaghan Tony
10183,23,100,8,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,United States,NA,18,19,Cervantes Francisca
10194,42,100,11,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,NA,69004,France,EMEA,18,73,Saveley Mary
10206,47,100,6,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,NA,17,18,Tannamuri Yoshi
10215,35,100,3,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,United States,NA,16,92,Thompson Steve
10228,29,100,2,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,MA,51247,United States,NA,14,17,Tseng Kyung
10245,34,100,9,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,United States,NA,12,80,Murphy Leslie
10258,32,100,6,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,11,84,Shimamura Akiko
10270,21,100,9,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,10,77,Huxley Adrian
10280,34,100,2,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,NA,10100,Italy,EMEA,9,2,Accorti Paolo
10291,37,100,11,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,NA,S-844 67,Sweden,EMEA,8,74,Larsson Maria
10304,47,100,6,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,NA,78000,France,EMEA,7,8,Tonini Daniel
10312,48,100,3,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,7,57,Nelson Valarie
10322,40,100,1,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,6,62,Young Valarie
10333,26,100,3,Shipped,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,6,58,Murphy Julie
10347,30,100,1,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,6,6,Ferguson Peter
10357,32,100,10,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,5,57,Nelson Valarie
10369,41,100,2,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Houston,MA,58339,United States,NA,4,23,Nelson Allen
10381,36,100,3,Shipped,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,3,24,Brown Julie
10391,24,100,4,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Sydney,NSW,2060,Australia,APAC,2,3,O'Hara Anna
10411,23,100,9,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,NA,0,67,Fresnisre Jean
10424,50,100,6,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,0,34,Freyre Diego
10107,39,99.91,5,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,27,47,Yu Kwai
10120,29,96.34,3,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,25,6,Ferguson Peter
10134,27,100,5,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,22,48,Da Cunha Daniel
10145,37,100,9,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,United States,NA,21,87,Young Julie
10159,37,100,17,Shipped,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10168,27,100,4,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,19,81,Hirano Juri
10180,42,100,12,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,NA,59000,France,EMEA,18,27,Rance Martine
10188,38,96.34,4,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,18,42,Oeztan Veysel
10201,24,100,5,Shipped,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,17,58,Murphy Julie
10210,23,100,2,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,16,64,Kentary Mory
10223,47,100,4,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,15,6,Ferguson Peter
10236,22,100,1,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,United States,NA,13,59,Hernandez Rosa
10251,44,100,5,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,United States,NA,12,82,Brown William
10263,40,100,5,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,United States,NA,11,36,King Julie
10275,22,100,4,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,NA,44000,France,EMEA,10,46,Labrune Janine
10285,47,100,9,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,United States,NA,9,50,Hernandez Marta
10298,39,96.34,1,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,NA,44000,France,EMEA,8,4,Schmitt Carine
10308,34,100,2,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,United States,NA,7,55,Frick Steve
10318,45,100,4,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,6,29,Yu Kyung
10329,20,100,2,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,6,47,Yu Kwai
10339,40,68.92,4,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,6,84,Shimamura Akiko
10361,26,51.15,8,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,5,77,Huxley Adrian
10374,39,100,5,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,3,7,Calaghan Tony
10388,50,44.51,5,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,United States,NA,2,35,Benitez Violeta
10402,45,100,1,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,NA,75016,France,EMEA,1,9,Perrier Dominique
10417,45,100,5,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,0,34,Freyre Diego
10107,27,100,4,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,27,47,Yu Kwai
10120,46,100,2,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,25,6,Ferguson Peter
10134,31,100,4,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,22,48,Da Cunha Daniel
10145,33,100,8,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,United States,NA,21,87,Young Julie
10159,22,100,16,Shipped,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10168,20,100,3,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,19,81,Hirano Juri
10180,41,100,11,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,NA,59000,France,EMEA,18,27,Rance Martine
10188,45,100,3,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,18,42,Oeztan Veysel
10201,49,100,4,Shipped,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,17,58,Murphy Julie
10210,34,100,1,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,16,64,Kentary Mory
10223,49,100,3,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,15,6,Ferguson Peter
10237,39,100,9,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,New York,NY,10022,United States,NA,13,90,Frick Michael
10251,43,100,4,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,United States,NA,12,82,Brown William
10263,41,100,4,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,United States,NA,11,36,King Julie
10275,36,100,3,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,NA,44000,France,EMEA,10,46,Labrune Janine
10285,27,100,8,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,United States,NA,9,50,Hernandez Marta
10299,29,100,11,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,NA,21240,Finland,EMEA,8,86,Karttunen Matti
10308,20,100,1,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,United States,NA,7,55,Frick Steve
10318,37,100,3,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,6,29,Yu Kyung
10329,26,100,3,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,6,47,Yu Kwai
10339,39,76.67,3,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,6,84,Shimamura Akiko
10362,22,100,4,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,4,81,Hirano Juri
10374,22,100,1,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,3,7,Calaghan Tony
10388,21,86.77,7,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,United States,NA,2,35,Benitez Violeta
10403,66,100,9,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,NA,WX1 6LT,United Kingdom,EMEA,1,88,Devon Elizabeth
10417,56,100,4,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,0,34,Freyre Diego
10105,50,100,2,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,NA,1734,Denmark,EMEA,27,28,Petersen Jytte
10119,46,100,11,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,NA,5020,Austria,EMEA,25,72,Pipps Georg
10129,33,100,2,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,NA,WX3 6FW,United Kingdom,EMEA,23,78,Brown Ann
10143,49,100,15,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,United States,NA,21,56,Tam Wing C
10155,32,100,13,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,NA,21240,Finland,EMEA,19,86,Karttunen Matti
10167,44,100,9,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,NA,S-844 67,Sweden,EMEA,19,74,Larsson Maria
10178,24,100,12,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,NA,31000,France,EMEA,18,1,Roulet Annette
10186,26,100,9,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,NA,WA1 1DP,United Kingdom,EMEA,18,31,Hardy Thomas
10197,45,100,6,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,NA,8022,Spain,EMEA,18,33,Saavedra Eduardo
10209,39,100,8,Shipped,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,NA,United States,NA,16,51,Chandler Michael
10222,49,100,12,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,United States,NA,15,22,Thompson Valarie
10248,20,100,3,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,12,47,Yu Kwai
10261,27,100,1,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,NA,11,67,Fresnisre Jean
10273,30,100,4,Shipped,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,NA,B-1180,Belgium,EMEA,10,66,Dewey Catherine
10283,25,100,6,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,NA,9,70,Lincoln Elizabeth
10295,24,100,1,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,United States,NA,8,38,Yoshido Juri
10307,22,100,9,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,United States,NA,7,19,Cervantes Francisca
10316,33,100,17,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,United Kingdom,EMEA,6,39,Bennett Helen
10325,47,64.93,6,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,NA,4110,Norway,EMEA,6,12,Bergulfsen Jonas
10337,25,48.05,8,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,New York,NY,10022,United States,NA,6,20,Hernandez Maria
10350,26,75.47,5,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,5,34,Freyre Diego
10359,48,54.68,6,Shipped,Classic Cars,136,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,NA,51100,France,EMEA,5,68,Henriot Paul
10373,39,100,3,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,NA,90110,Finland,EMEA,4,65,Koskitalo Pirkko
10384,34,100,4,Shipped,Classic Cars,136,S10_4757,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,3,24,Brown Julie
10395,32,100,2,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,2,48,Da Cunha Daniel
10400,64,100,9,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,United States,NA,1,83,Frick Sue
10414,19,100,3,On Hold,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,United States,NA,0,38,Yoshido Juri
10103,42,100,4,Shipped,Classic Cars,147,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,NA,4110,Norway,EMEA,28,12,Bergulfsen Jonas
10114,31,100,8,Shipped,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,NA,75012,France,EMEA,25,45,Bertrand Marie
10126,22,100,4,Shipped,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,NA,28023,Spain,EMEA,24,25,Sommer Mart<a1>n
10140,26,100,4,Shipped,Classic Cars,147,S10_4962,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,22,81,Hirano Juri
10150,20,100,1,Shipped,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,NA,79903,Singapore,Japan,20,32,Natividad Eric
10164,21,100,2,Resolved,Classic Cars,147,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,NA,8010,Austria,EMEA,19,53,Mendel Roland
10175,33,100,9,Shipped,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,NA,WX3 6FW,United Kingdom,EMEA,18,78,Brown Ann
10183,28,100,1,Shipped,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,United States,NA,18,19,Cervantes Francisca
10194,26,100,4,Shipped,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,NA,69004,France,EMEA,18,73,Saveley Mary
10207,31,100,15,Shipped,Classic Cars,147,S10_4962,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,MA,51003,United States,NA,17,30,Franco Valarie
10217,48,100,4,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,NA,69045,Singapore,APAC,15,40,Victorino Wendy
10229,50,100,9,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,14,57,Nelson Valarie
10245,28,100,2,Shipped,Classic Cars,147,S10_4962,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,United States,NA,12,80,Murphy Leslie
10259,26,100,12,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,NA,69045,Singapore,APAC,11,40,Victorino Wendy
10270,32,100,2,Shipped,Classic Cars,147,S10_4962,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,10,77,Huxley Adrian
10281,44,100,9,Shipped,Classic Cars,147,S10_4962,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,9,29,Yu Kyung
